aDate;target_name;target_ticker;buyer_name;buyer_ticker
26.01.15;Rock-Tenn Co;RKT^G15;MeadWestvaco Corp;MWV^G15
26.01.15;Regency Energy Partners LP;RGP^D15;Energy Transfer Partners LP;ETP^D17
27.01.15;Silicon Image Inc;SIMG.O^C15;Lattice Semiconductor Corp;LSCC.O
02.02.15;Advent Software Inc;ADVS.O^G15;SS&C Technologies Holdings Inc;SSNC.O
05.02.15;Hospira Inc;HSP^I15;Pfizer Inc;PFE
12.02.15;Orbitz Worldwide Inc;OWW^I15;Expedia Inc;EXPE.O
26.02.15;Sorin SpA;SORN.MI^J15;Cyberonics Inc;CYBX.O^J15
02.03.15;Aruba Networks Inc;ARUN.O^E15;Hewlett Packard Co;HPQ
04.03.15;Pharmacyclics Inc;PCYC.O^E15;AbbVie Inc;ABBV.K
24.03.15;Kofax Ltd;KFX.L^C15;Lexmark International Inc;LXK^K16
30.03.15;Catamaran Corp;CTRX.O^G15;UnitedHealth Group Inc;UNH
07.05.15;Telecity Group PLC;TCY.L^A16;Equinix Inc;EQIX.O
07.05.15;Micrel Inc;MCRL.O^H15;Microchip Technology Inc;MCHP.O
11.05.15;Rosetta Resources Inc;ROSE.O^G15;Noble Energy Inc;NBL.O^J20
12.05.15;AOL Inc;AOL^F15;Verizon Communications Inc;VZ
13.05.15;Pall Corp;PLL^H15;Danaher Corp;DHR
21.05.15;Omnicare Inc;OCR^H15;CVS Health Corp;CVS
26.05.15;Time Warner Cable Inc;TWC^E16;Charter Communications Inc;CHTRq.L^K07
27.05.15;Rally Software Development Corp;RALY.K^G15;CA Inc;CA.O^K18
01.06.15;Altera Corp;ALTR.O^L15;Intel Corp;INTC.O
01.06.15;OM Group Inc;OMG^J15;Apollo Global Management LLC;APO
04.06.15;Bio-Reference Laboratories Inc;BRLI.O^H15;OPKO Health Inc;OPK.O
14.06.15;Ryland Group Inc;RYL^J15;Standard Pacific Corp;SPF_r.N^H08
02.07.15;Health Net Inc;HNT^C16;Centene Corp;CNC
13.07.15;MarkWest Energy Partners LP;MWE^L15;MPLX LP;MPLX.K
13.07.15;Remy International Inc;RMYIP.PK^B11;BorgWarner Inc;BWA
14.07.15;Receptos Inc;RCPT.O^H15;Celgene Corp;CELG.OQ^K19
22.07.15;Thoratec Corp;THOR.O^J15;St Jude Medical Inc;STJ^A17
04.08.15;IPC Healthcare Inc;IPCM.O^K15;Team Health Holdings Inc;TMH^B17
06.08.15;Merge Healthcare Inc;MRGE.O^J15;International Business Machines Corp;IBM
10.08.15;Rentech Nitrogen Partners LP;RNF^D16;CVR Partners LP;UAN
10.08.15;Yodlee Inc;YDLE.O^K15;Envestnet Inc;ENV^K24
10.08.15;NTELOS Holdings Corp;NTLS.O^E16;Shenandoah Telecommunications Co;SHEN.O
17.08.15;Zulily Inc;ZU.O^J15;Liberty Interactive Corp;LVNTA.O^C18
17.08.15;National Penn Bancshares Inc, Boyertown,Pennsylvania;NPBC.O^D16;BB&T Corp;BBT_pe^I19
26.08.15;Cameron International Corp;CAM^D16;Schlumberger Ltd;SLB
09.09.15;Con-way Inc;CNW^J15;XPO Logistics Inc;XPO
18.09.15;Veda Group Ltd;VED.AX^B16;Equifax Inc;EFX
28.09.15;Media General Inc(WAS 650151);MEGAB.PK^H09;Nexstar Broadcasting Group Inc;NXST.O
29.09.15;Rentrak Corp;RENT.O^B16;Comscore Inc;SCOR.O
19.10.15;PMC-Sierra Inc;PMCS.O^A16;Microsemi Corp;MSCCn.BCU
21.10.15;SanDisk Corp;SNDK.O;Western Digital Corp;WDC.O
26.10.15;Piedmont Natural Gas Co Inc;PNY^J16;Duke Energy Corp;DUK
28.10.15;Diamond Foods Inc;DMND.O^C16;Snyder's-Lance Inc;LNCE.O^C18
30.10.15;First Niagara Financial Group Inc;FNFG.O^H16;KeyCorp,Cleveland,Ohio;KEY
04.11.15;HomeAway Inc;AWAY.O^L15;Expedia Inc;EXPE.O
08.11.15;Plum Creek Timber Co Inc;PCL^B16;Weyerhaeuser Co;WY
16.11.15;Starwood Hotels & Resorts Worldwide Inc;HOT^I16;Marriott International Inc;MAR.O
18.11.15;Fairchild Semiconductor International Inc;FCS.O^I16;ON Semiconductor Corp;ON.O
24.11.15;Boulder Brands Inc;BDBD.O^A16;Pinnacle Foods Inc;PF^J18
03.12.15;American Residential Properties Inc;ARPI.K^C16;American Homes 4 Rent;AMH
14.12.15;Jarden Corp;JAH^D16;Newell Rubbermaid Inc;NWL.O
15.12.15;Heartland Payment Systems Inc;HPY^D16;Global Payments Inc;GPN
08.01.16;Affymetrix Inc;AFFX.O^D16;Thermo Fisher Scientific Inc;TMO
13.01.16;Atmel Corp;ATMLn.BCU;Microchip Technology Inc;MCHP.O
26.01.16;FirstMerit Corp;FMER.O^H16;Huntington Bancshares Inc,Columbus,OH;HBAN.O
29.01.16;Axiall Corp;AXLL.K^H16;Westlake Chemical Corp;WLK
01.02.16;Questar Corp;STR_w^G10;Dominion Resources Inc;D
01.02.16;Alere Inc;ALR^J17;Abbott Laboratories;ABT
03.02.16;RONA Inc;RON.TO^E16;Lowe's Cos Inc;LOW
16.02.16;The ADT Corp;ADT^E16;Apollo Global Management LLC;APO
23.02.16;Newport Corp;NEWP.O^E16;MKS Instruments Inc;MKSI.O
03.03.16;Carmike Cinemas Inc;CKEC.O^L16;AMC Entertainment Holdings Inc;AMC
14.03.16;Fresh Market Inc;TFM.O^D16;Apollo Global Management LLC;APO
20.03.16;Valspar Corp;VAL^F17;Sherwin-Williams Co;SHW
04.04.16;Virgin America Inc;VA.O^L16;Alaska Air Group Inc;ALK
04.04.16;Ruckus Wireless Inc;RKUS.K^E16;Brocade Communications Systems Inc;BRCD.O^K17
11.04.16;Hatteras Financial Corp;HTS^G16;Annaly Capital Management Inc;NLY
28.04.16;St Jude Medical Inc;STJ^A17;Abbott Laboratories;ABT
28.04.16;Textura Corp;TXTR.K^F16;Oracle Corp;ORCL.K
29.04.16;Parkway Properties Inc;PKY.N^J16;Cousins Properties Inc;CUZ
02.05.16;Opower Inc;OPWR.K^F16;Oracle Corp;ORCL.K
06.05.16;Northstar Realty Finance Corp;NRF^A17;Colony Capital Inc;CLNY.K^A17
06.05.16;Colony Capital Inc;CLNY.K^A17;Colony Capital Inc;CLNY.K^A17
